Timestamp,Label,Score,Response Time (s)
2025-06-25 22:34:37,Ball python__246 Snake,0.250,0.074
2025-06-25 22:34:37,Ball python__246 Snake,0.228,0.049
2025-06-25 22:34:37,Ball python__246 Snake,0.189,0.076
2025-06-25 22:34:37,Ball python__379 Snake,0.185,0.08
2025-06-25 22:34:37,Ball python__606 Snake,0.174,0.077
2025-06-25 22:34:37,Ball python__384 Snake,0.167,0.048
2025-06-25 22:34:37,Ball python__560 Snake,0.114,0.081
2025-06-25 22:34:37,Human,0.040,0.076
2025-06-25 22:34:38,Human,0.001,0.049
2025-06-25 22:34:38,Human,-0.035,0.05
2025-06-25 22:34:38,Human,-0.066,0.045
2025-06-25 22:34:38,Human,-0.088,0.05
2025-06-25 22:34:38,Human,-0.091,0.077
2025-06-25 22:34:38,Human,-0.077,0.083
2025-06-25 22:34:38,Human,-0.059,0.08
2025-06-25 22:34:38,Human,-0.072,0.047
2025-06-25 22:34:38,Human,-0.048,0.047
2025-06-25 22:34:38,Human,-0.087,0.049
2025-06-25 22:34:38,Human,-0.106,0.078
2025-06-25 22:34:38,Human,-0.099,0.049
2025-06-25 22:34:38,Human,-0.084,0.082
2025-06-25 22:34:39,Human,-0.089,0.074
2025-06-25 22:34:39,Human,-0.109,0.045
2025-06-25 22:34:39,Human,-0.100,0.053
2025-06-25 22:34:39,Human,-0.043,0.044
2025-06-25 22:34:44,Human,-0.081,5.142
2025-06-25 22:34:44,Human,-0.029,0.066
2025-06-25 22:34:44,Human,-0.021,0.076
2025-06-25 22:34:44,Human,-0.018,0.077
2025-06-25 22:34:44,Human,-0.022,0.049
2025-06-25 22:34:44,Human,-0.005,0.07
2025-06-25 22:34:44,Human,-0.009,0.048
2025-06-25 22:34:45,Human,-0.019,0.077
2025-06-25 22:34:45,Human,-0.002,0.078
2025-06-25 22:34:45,Human,-0.002,0.076
2025-06-25 22:34:45,Human,-0.033,0.076
2025-06-25 22:34:45,Human,-0.021,0.078
2025-06-25 22:34:45,Human,0.015,0.051
2025-06-25 22:34:45,Human,-0.048,0.063
2025-06-25 22:34:45,Human,-0.039,0.077
2025-06-25 22:34:45,Human,-0.058,0.078
2025-06-25 22:34:45,Human,-0.036,0.071
2025-06-25 22:34:45,Human,-0.027,0.049
2025-06-25 22:34:45,Human,-0.042,0.048
2025-06-25 22:34:46,Human,-0.032,0.077
2025-06-25 22:34:46,Human,-0.043,0.08
2025-06-25 22:34:46,Human,-0.037,0.08
2025-06-25 22:34:46,Human,-0.043,0.077
2025-06-25 22:34:46,Human,-0.051,0.082
2025-06-25 22:34:46,Human,-0.074,0.047
2025-06-25 22:34:46,Human,-0.071,0.078
2025-06-25 22:34:46,Human,-0.080,0.05
2025-06-25 22:34:46,Human,-0.096,0.049
2025-06-25 22:34:46,Human,-0.097,0.073
2025-06-25 22:34:52,Human,-0.097,5.999
2025-06-25 22:34:52,Human,-0.102,0.052
2025-06-25 22:34:58,Human,-0.102,5.998
2025-06-25 22:35:04,Human,-0.100,5.196
2025-06-25 22:35:04,Human,-0.058,0.073
2025-06-25 22:35:10,Human,-0.095,6.072
2025-06-25 22:35:10,Human,-0.095,0.054
2025-06-25 22:35:10,Human,-0.054,0.092
2025-06-25 22:35:10,Human,-0.099,0.055
2025-06-25 22:35:10,Human,-0.088,0.083
2025-06-25 22:35:10,Human,-0.082,0.076
2025-06-25 22:35:10,Human,-0.089,0.048
